Condition,BodySystem,Asanas,Pranayama,MantraSanskrit,MantraTranslit,Deity,Chakra,Notes
Migraine,"Nervous, Vascular","Balasana, Viparita Karani, Setu Bandhasana","Nadi Shodhana, Bhramari",ॐ शान्तिः शान्तिः शान्तिः,Om Shanti Shanti Shanti,Shiva,Ajna,"Avoid inversions during pain; focus on silence, cooling breath."
Tension Headache,"Musculoskeletal, Nervous","Paschimottanasana, Marjariasana, Gentle Twists",Deep belly breathing,ॐ नमः शिवाय,Om Namah Shivaya,Shiva,Vishuddha,"Practice in quiet space, include shoulder rotations and neck stretches."
Sinusitis,"Respiratory, ENT","Bhujangasana, Setu Bandhasana","Jala Neti, Kapalabhati (mild), Bhastrika",ॐ हं हनुमते नमः,Om Ham Hanumate Namah,Hanuman,Vishuddha,Avoid strong Kapalabhati during infection; use Neti kriya daily for relief.
Dizziness / Vertigo,"Vestibular, Nervous","Tadasana, Utkatasana, Vrikshasana",Slow deep breathing,ॐ श्री महालक्ष्म्यै नमः,Om Shri Mahalakshmyai Namah,Lakshmi,Ajna,Practice grounding poses; use a stable visual point (drishti); keep eyes open during balancing poses.
Eye Strain / Vision Fatigue,"Ocular, Nervous","Palming, Trataka (Candle Gaze), Shavasana with eye pillow",Slow deep breathing,ॐ सूर्याय नमः,Om Suryaya Namah,Surya,Ajna,Combine yogic eye exercises with palming and Trataka; rest eyes with proper screen breaks.
Insomnia,"Nervous, Endocrine","Supta Baddha Konasana, Viparita Karani","Anulom Vilom, Chandra Bhedana",ॐ अगस्त्याय नमः,Om Agastyaya Namah,Agastya / Vishnu,Ajna,"Practice before bed, avoid screens after 9 PM, include Yoga Nidra for deep relaxation."
Brain Fog / Poor Concentration,"Cognitive, Nervous","Padmasana, Siddhasana","Ujjayi, Nadi Shodhana, Trataka",ॐ ऐं सरस्वत्यै नमः,Om Aim Saraswatyai Namah,Saraswati,Ajna,Use Brahmi oil on scalp; focus on steady flame (Trataka) to enhance memory and clarity.
Stress / Overthinking,"Mental, Emotional","Child's Pose, Viparita Karani, Yoga Nidra","Nadi Shodhana, Bhramari",ॐ भूर्भुवः स्वः ... (Gayatri Mantra),Om Bhur Bhuvah Swah... (Gayatri Mantra),Savitri / Surya,Ajna,Chant Gayatri mantra daily with awareness; pair with guided relaxation and heart-opening postures.
Hair Fall (Stress-Induced),"Scalp, Endocrine","Adho Mukha Svanasana, Sasangasana, Scalp Massage","Bhramari, Slow Kapalabhati",ॐ श्रीं क्लीं सौः,Om Shreem Kleem Sauh,Durga / Shakti,Sahasrara,Incorporate Brahmi / Amla oil massage and cooling practices; avoid stress triggers and sleep deprivation.
Emotional Trauma (Stored in Ajna),"Limbic System, Nervous","Seated meditation, Ajna-focused Trataka","Bhramari, Ajapa Japa",ॐ ह्रीं नमः,Om Hreem Namah,Divine Feminine (Devi),Ajna,Visualize indigo light at the third eye; focus on release and forgiveness; chant 'Hreem' silently.
