Condition,Body System,Asanas,Pranayama,Mantra (Sanskrit),Mantra (Translit),Deity,Chakra,Notes
Knee Pain (Vata Imbalance),"Musculoskeletal, Joints","Virasana, Vajrasana, Setu Bandhasana","Anulom Vilom","वयं रक्षामहि","vayan rakshāmahi","Dhanvantari","Muladhara","Gentle grounding poses, slow cycles; emphasize stillness, repeat mantra while visualizing healing light."
Ankle Instability,"Musculoskeletal, Nervous","Tadasana, Vrksasana, Garudasana","Ujjayi","ॐ अपघात निवारय","om apaghāta nivāraya","Hanuman","Muladhara","Focus on steady standing; slow Ujjayi, visualize roots from feet, recite mantra with breath."
Plantar Fasciitis,"Fascia, Musculoskeletal","Adho Mukha Svanasana, Supta Padangusthasana","Sama Vritti","ॐ आधार शक्तये नमः","om ādhāra shaktaye namah","Bhudevi","Muladhara","Hold poses with slow breath, focus on soles; repeat mantra, send awareness to feet."
Sciatica,"Nervous, Musculoskeletal","Ardha Matsyendrasana, Supta Baddha Konasana","Sheetali","ॐ शान्तिः शान्तिः शान्तिः","om shāntih shāntih shāntih","Vishnu","Svadhisthana","Soothing twists, cooling breath, mental repetition; focus on flowing ease down the leg."
Hip Stiffness,"Musculoskeletal, Joint","Baddha Konasana, Gomukhasana, Utthita Trikonasana","Nadi Shodhana","ॐ गत्यै नमः","om gatyai namah","Shiva","Svadhisthana","Use deep joint openers, alternate nostril breathing; chant mantra while releasing tension."
Flat Feet,"Musculoskeletal, Fascia","Tadasana, Vajrasana, Utkatasana","Bhramari","ॐ पृथिव्यै नमः","om pṛthivyai namah","Bhumi Devi","Muladhara","Focus on foot arches, vibratory breath; visualize Earth energy rising while repeating mantra."
Restless Legs,"Nervous, Musculoskeletal","Viparita Karani, Supta Virasana","Chandra Bhedana","ॐ सौम्याय नमः","om saumyai namah","Chandra","Muladhara","Gentle, cooling practices; left-nostril breath; repeat mantra, visualize calming lunar energy."
Leg Cramps/Night Spasms,"Musculoskeletal, Circulatory","Supta Padangusthasana, Janu Sirsasana","Sheetkari","ॐ शरणागत दीनार्त परित्राण परायणे","om sharaṇāgata dīnārta paritrāṇa parāyaṇe","Narayana","Swadhisthana","Stretch before rest; cooling breath after cramps, mantra to invoke relief and comfort."
Toe Pain/Arthritis,"Joint, Musculoskeletal","Vajrasana, Padangusthasana","Ujjayi","ॐ अङ्गुष्ठाय नमः","om aṅguṣṭhāya namah","Ganesha","Muladhara","Activate toes during poses, slow Ujjayi; mantra for strength in small joints."
Swollen Ankles (Edema),"Circulatory, Lymphatic","Viparita Karani, Pawanmuktasana","Deep belly breath","ॐ ह्रीम् नमः","om hrīm namah","Lakshmi","Swadhisthana","Legs-up-the-wall, gentle joint movement, diaphragmatic breathing; chant for flow and release."
Difficulty Grounding,"Nervous, Energetic","Malasana, Tadasana, Balasana","Sama Vritti","ॐ गं गणपतये नमः","om gam gaṇapataye namah","Ganesha","Muladhara","Focus on feet, balance poses; steady breath, mantra for stability and connection to Earth."
