Condition,BodySystem,Asanas,Pranayama,MantraSanskrit,MantraTranslit,Deity,Chakra,Notes
Hypothyroidism,"Endocrine, Metabolic","Sarvangasana, Matsyasana, Ustrasana","Ujjayi, Nadi Shodhana",ॐ नमो भगवते रुद्राय,Om Namo Bhagavate Rudraya,Rudra (Shiva as healer),Vishuddha,Stimulate thyroid with gentle inversions and throat-opening asanas; avoid strain.
Hyperthyroidism,"Endocrine, Metabolic","Setu Bandhasana, Viparita Karani, Balasana","Chandra Bhedana, Sheetali",ॐ शं शनैश्चराय नमः,Om Sham Shanaishcharaya Namah,Shani,Vishuddha,Cooling practices help pacify excess fire (Pitta); avoid stimulating asanas.
Sore Throat / Chronic Infection,"Respiratory, Immune","Bhujangasana, Simhasana, Ushtrasana","Bhramari, Ujjayi",ॐ हं हनुमते नमः,Om Ham Hanumate Namah,Hanuman,Vishuddha,Use Simhasana to clear stagnation; gargle with salt + turmeric post-practice.
Cervical Spondylosis / Neck Pain,"Musculoskeletal, Nervous","Marjariasana, Ardha Matsyendrasana, Neck Rolls",Deep Diaphragmatic Breathing,ॐ नमः शिवाय,Om Namah Shivaya,Shiva,Vishuddha,Avoid extreme neck flexions; use gentle movement and breath synchronization.
Stiff Shoulders / Upper Back Tension,Musculoskeletal,"Gomukhasana, Garudasana Arms, Shoulder Rolls",Ujjayi,ॐ ह्रीं क्लीं नमः,Om Hreem Kleem Namah,Durga,Vishuddha,Target shoulder girdle and throat region; Ujjayi helps release inner tension.
Vocal Weakness / Fatigue,Vocal / ENT,"Simhasana, Matsyasana",Bhramari,ॐ वद वद वाग्वादिनी स्वाहा,Om Vada Vada Vagvadini Swaha,Saraswati,Vishuddha,Chant softly daily; Bhramari and Simhasana stimulate vocal cords.
Blocked Expression / Emotional Suppression,"Psychosomatic, Emotional","Halasana, Shoulderstand, Seated Meditation","Ajapa Japa, Nadi Shodhana",ॐ ह्रीं नमः,Om Hreem Namah,Divine Feminine,Vishuddha,Visualize blue light at throat; express via journaling + chanting.
Asthma / Breathing Restriction,Respiratory,"Sukhasana, Bhujangasana, Setu Bandhasana","Anulom Vilom, Bhramari",ॐ अपानाय स्वाहा,Om Apanaya Swaha,Vayu Deva,Vishuddha,Do not force breath; use slow expansion and breath awareness.
Jaw Clenching / TMJ Issues,"Maxillofacial, Nervous","Neck rolls, Simhasana, Face yoga",Bhramari,ॐ हं,Om Ham,Hanuman,Vishuddha,Daily Bhramari with jaw loosening; pair with calming mantras.
Snoring / Sleep Apnea,Respiratory / Sleep,"Supta Baddha Konasana, Viparita Karani","Ujjayi, Bhramari (gentle)",ॐ अगस्त्याय नमः,Om Agastyaya Namah,Agastya,Vishuddha,Practice before sleep; raise head level and include breath retention gradually.
